

Results from heasarc_fermigbrst: Fermi GBM Burst Catalog
Coordinate system:  Equatorial
|name        |ra        |dec      |t90     |
|GRB170306588|10 18 28.8|+51 35 24|  18.944|
|GRB090109332|08 38 24.0|+51 48 00|   1.728|
|GRB170506169|07 29 02.4|+51 52 12|   0.832|
|GRB161217128|14 26 31.2|+51 58 48|   3.584|
|GRB130305486|07 47 03.6|+52 01 30|  25.600|
|GRB130112286|15 44 07.2|+52 11 24|  35.328|
|GRB170724543|11 28 04.8|+49 33 36|  19.200|
|GRB130815420|10 58 50.4|+49 34 12| 236.292|
|GRB140620219|18 47 28.8|+49 43 48|  45.825|
|GRB090320801|12 13 36.0|+49 48 00|  29.184|
|GRB170831179|10 34 50.4|+49 48 00|  57.345|
|GRB140423356|13 09 09.4|+49 50 32|  95.233|
|GRB120729456|00 52 17.8|+49 56 23|  25.472|
|GRB150330828|21 57 02.4|+49 58 12| 153.859|
|GRB170511648|10 40 09.6|+77 10 12|   1.280|
|GRB141124277|09 00 16.8|+78 10 48|   0.512|
|GRB090618353|19 35 57.6|+78 21 27| 112.386|
|GRB150828901|06 16 57.6|+78 38 24|   2.048|
|GRB120530121|11 43 50.4|+78 49 48|  77.054|
|GRB140404030|00 59 33.6|+78 53 24|  84.992|
|GRB160521385|09 52 40.8|+79 00 36|   2.816|
|GRB141109447|13 37 09.6|+79 01 48|  32.000|
|GRB100724029|07 58 23.8|+75 51 22| 114.690|
|GRB170414551|02 54 00.0|+75 53 24|  45.824|
|GRB160509374|20 40 24.0|+76 00 00| 369.670|
|GRB091223191|13 32 55.2|+76 21 00|   0.576|
|GRB140217043|23 57 33.6|+76 45 00|  27.136|
|GRB100725475|19 20 07.9|+76 57 23| 146.434|
|GRB160629930|00 19 27.4|+76 58 01|  64.769|
|GRB091230712|03 26 36.0|+77 10 12|  35.137|
|GRB160924253|06 28 28.8|+71 19 12|  74.496|
|GRB091115177|20 31 02.4|+71 27 36|  37.376|
|GRB150919606|04 20 24.0|+71 42 00|   6.656|
|GRB100827455|12 55 36.0|+71 53 24|   0.576|
|GRB091219462|19 37 57.6|+71 54 36|   8.128|
|GRB170514152|09 30 57.6|+71 55 48|  12.032|
|GRB131028076|03 47 48.0|+72 11 24|  17.152|
|GRB090910812|19 44 55.2|+72 16 48|  53.441|
|GRB150607330|09 19 58.1|+68 26 12|  26.173|
|GRB150320462|09 19 55.2|+68 55 48|   0.064|
|GRB160317385|06 22 48.0|+68 59 24|  43.776|
|GRB090621922|20 53 43.7|+69 00 47|   0.384|
|GRB111222619|11 56 46.3|+69 02 10|   0.288|
|GRB120326056|18 15 37.2|+69 15 36|  11.776|
|GRB160201883|20 50 40.8|+69 19 12|  40.510|
|GRB150428305|16 09 19.2|+69 30 36|  32.512|
|GRB161106499|13 28 12.0|+64 52 48|  10.752|
|GRB140110814|02 07 26.4|+65 09 36|  81.152|
|GRB150828333|12 55 14.4|+65 46 48|  12.800|
|GRB151227072|13 42 00.0|+65 52 12|   3.389|
|GRB110221244|01 00 43.2|+66 03 00|  13.056|
|GRB151212030|20 15 14.4|+66 03 36|  22.272|
|GRB111018595|07 04 19.2|+66 08 24|   8.192|
|GRB130408653|07 55 04.8|+66 20 24|   9.216|
|GRB090524346|21 58 00.0|-67 24 00|  54.337|
|GRB150404733|11 03 38.4|-67 22 12|   4.864|
|GRB100719311|20 19 28.8|-67 08 24|   1.600|
|GRB090819607|03 16 19.2|-67 07 12|   0.192|
|GRB110911071|17 14 19.2|-66 58 48|   8.960|
|GRB131118958|23 19 27.1|-66 49 59|  85.249|
|GRB170323775|23 15 19.2|-66 48 36|  35.328|
|GRB111107035|08 37 54.7|-66 31 12|  12.032|
|GRB080905570|06 27 36.0|-69 48 00|  26.624|
|GRB131204937|20 38 40.8|-69 40 12|  29.952|
|GRB130327350|14 32 21.6|-69 30 36|  31.233|
|GRB090725838|18 47 31.2|-69 29 24|  13.760|
|GRB140322424|16 41 12.0|-69 27 00|  10.496|
|GRB150902733|14 19 42.2|-69 21 40|  13.568|
|GRB170625692|07 06 48.0|-69 21 00|  22.784|
|GRB140110411|03 22 33.6|-69 17 24|   0.768|
|GRB130218261|04 37 14.4|-69 07 48|  37.121|
|GRB140213807|07 00 52.3|-73 08 10|  18.624|
|GRB090922605|02 33 26.4|-73 04 48|  52.736|
|GRB090513941|06 36 24.0|-72 54 00|  11.776|
|GRB130425327|01 11 07.2|-72 51 00|  62.209|
|GRB160325291|01 02 36.5|-72 41 48|  42.945|
|GRB091102607|04 50 27.9|-72 31 11|   6.656|
|GRB100926595|14 51 00.0|-72 21 00|  32.256|
|GRB090120627|02 32 24.0|-72 12 00|   1.856|
|GRB141022087|07 57 33.6|-75 10 12|   9.216|
|GRB100112418|16 00 33.6|-75 06 00|  23.040|
|GRB121116459|12 03 31.2|-74 47 24|   0.832|
|GRB110212550|20 45 19.2|-74 30 00|   0.064|
|GRB161012637|10 41 43.2|-74 16 48|   6.400|
|GRB141221897|08 24 04.8|-74 12 36|  32.513|
|GRB150602840|19 19 28.8|-74 12 36|  10.496|
|GRB080714425|12 30 00.0|-74 00 00|  40.192|
|GRB170912273|14 21 50.2|-61 59 48|  13.568|
|GRB141013803|21 00 14.4|-61 53 24|  82.432|
|GRB170727841|14 35 24.0|-61 50 24|  19.200|
|GRB170112970|13 51 02.4|-61 46 12|   7.360|
|GRB150228981|00 30 12.0|-61 43 48|  36.609|
|GRB150206285|23 51 45.6|-61 36 36|  23.296|
|GRB151231443|04 22 31.2|-61 32 24|  71.425|
|GRB171025913|22 32 57.6|-61 31 12|   7.936|
|GRB131030653|04 05 48.0|-62 48 00|  53.248|
|GRB150403913|20 46 00.5|-62 42 42|  22.272|
|GRB140422194|10 58 09.6|-62 37 12| 361.472|
|GRB080905705|20 06 48.0|-62 36 00| 105.984|
|GRB081204004|04 13 12.0|-62 36 00|   7.424|
|GRB141016897|14 45 48.0|-62 29 24|  17.405|
|GRB090717034|06 09 38.4|-62 28 48|  65.537|
|GRB121217313|10 14 50.4|-62 21 02| 828.672|
|GRB150826557|21 11 52.8|-64 56 24|  33.024|
|GRB120921877|06 25 40.8|-64 46 12|   5.632|
|GRB170126480|17 34 31.9|-64 45 38|  13.824|
|GRB090711850|09 18 26.4|-64 44 24|  51.969|
|GRB091017985|14 17 36.0|-64 44 24|  44.800|
|GRB081225257|15 36 24.0|-64 36 00|  41.217|
|GRB101213849|17 23 57.6|-64 30 36|   6.656|
|GRB150805445|06 23 02.4|-64 19 48|  45.825|
|GRB100819498|18 38 24.0|-50 02 24|  12.544|
|GRB150923864|04 28 55.2|-50 00 36|   1.792|
|GRB141012773|19 07 16.8|-49 52 48|  37.633|
|GRB121205507|15 54 21.6|-49 42 36|   2.816|
|GRB101013412|19 28 19.2|-49 38 24|  15.360|
|GRB090309767|11 37 12.0|-49 30 00|  56.513|
|GRB091015129|21 04 21.6|-49 30 00|   3.840|
|GRB130121835|14 05 14.4|-49 29 24| 178.691|
|GRB121127914|11 45 45.1|-52 24 50|   0.640|
|GRB160316139|23 41 19.2|-52 22 48|  17.152|
|GRB170209048|07 23 07.0|-52 14 47|  39.677|
|GRB090920035|19 58 55.2|-52 11 24|  26.624|
|GRB120420249|03 11 33.6|-52 11 24|  25.600|
|GRB090412061|00 05 12.0|-51 54 00|   0.896|
|GRB080831053|14 04 48.0|-51 42 00|   0.576|
|GRB100620119|05 20 24.0|-51 40 48|  51.841|
|GRB120117291|22 36 02.4|-54 15 00|   3.328|
|GRB171029020|13 12 57.6|-54 15 00|  19.712|
|GRB110227009|09 54 52.8|-54 02 24|   1.728|
|GRB140605377|08 07 09.6|-53 51 36|   0.512|
|GRB150601904|05 18 40.8|-53 49 12|   0.768|
|GRB150913161|16 04 12.0|-53 47 24|  20.992|
|GRB170317666|20 32 31.2|-53 45 00| 212.995|
|GRB110930564|12 29 14.4|-53 39 36|  37.889|
|GRB150422294|10 24 04.8|-53 33 36|  30.208|
|GRB101224578|19 16 33.6|-55 15 00|  44.737|
|GRB120510900|12 27 43.2|-55 14 24|  62.465|
|GRB130228212|16 03 00.0|-55 12 36|  15.421|
|GRB080928628|06 20 24.0|-55 12 00|  14.336|
|GRB090213236|22 02 24.0|-55 00 00|  20.224|
|GRB081129161|04 12 48.0|-54 54 00|  62.657|
|GRB120331055|01 45 28.8|-54 50 24|  16.384|
|GRB090720710|13 32 00.0|-54 48 00|  10.752|
|GRB161001045|04 47 40.4|-57 15 41|   2.240|
|GRB130127299|20 04 50.4|-57 12 36|  19.456|
|GRB110319815|21 42 16.8|-57 06 36|  31.232|
|GRB110801335|16 33 04.8|-57 03 36|   0.384|
|GRB170416583|18 56 52.8|-57 01 12|  61.952|
|GRB080916406|22 25 12.0|-57 00 00|  46.337|
|GRB150702998|03 31 07.2|-57 00 00|  45.825|
|GRB131028096|22 13 36.0|-56 56 24|  14.336|
|GRB150306993|00 02 31.2|-58 33 00|  18.944|
|GRB120210650|03 38 36.0|-58 31 12|   1.344|
|GRB110207959|11 56 00.0|-58 25 48|   7.680|
|GRB111015427|14 42 36.0|-58 24 36|  92.737|
|GRB161020767|02 10 14.4|-58 13 48|  22.078|
|GRB160422499|02 45 02.4|-58 13 12|  12.288|
|GRB090117640|10 56 00.0|-58 12 00|  15.552|
|GRB130206817|09 21 30.0|-58 09 36|  91.585|
|GRB100916779|10 07 50.4|-59 22 48|  12.800|
|GRB141031304|08 34 25.9|-59 10 06|  19.456|
|GRB140528837|18 42 55.4|-59 04 48|  13.568|
|GRB101208498|18 43 45.6|-59 01 12|   2.048|
|GRB130816074|13 08 33.6|-58 56 43|  36.864|
|GRB170627931|02 26 04.8|-58 42 00|  17.152|
|GRB140929677|11 49 48.0|-58 38 24|  37.120|
|GRB140710901|13 38 35.0|-58 35 29|  11.520|
|GRB161110179|16 59 38.4|-60 37 12|   1.792|
|GRB160424492|21 17 56.4|-60 36 53|   6.592|
|GRB081121858|05 57 12.0|-60 36 00|  41.985|
|GRB120511638|15 07 43.2|-60 29 24|  45.249|
|GRB130730243|08 55 00.0|-60 21 36|  27.904|
|GRB130304658|11 55 28.8|-60 17 24|  23.296|
|GRB080714745|12 32 24.0|-60 12 00|  59.649|
|GRB080723557|11 47 12.0|-60 12 00|  58.369|
|GRB140619490|20 19 50.4|-39 10 48|   0.448|
|GRB170607946|16 26 38.6|-39 09 32|  18.176|
|GRB101205309|21 28 24.0|-39 06 00|   7.936|
|GRB100625773|01 03 10.8|-39 05 18|   0.240|
|GRB090926914|03 05 16.3|-39 00 40|  55.553|
|GRB170323058|09 40 45.6|-39 00 00|  29.440|
|GRB090316311|17 04 24.0|-38 54 00|  10.240|
|GRB140710537|00 11 12.0|-38 52 48|   0.384|
|GRB090907017|05 45 19.2|-38 51 00|  39.489|
|GRB130403866|13 19 36.0|-46 40 48|  22.784|
|GRB120203812|22 37 12.0|-46 35 24|  10.240|
|GRB170629537|08 40 03.8|-46 35 13|  28.160|
|GRB090630311|09 46 12.0|-46 34 48|   2.880|
|GRB090320418|15 52 00.0|-46 30 00|   7.936|
|GRB150908408|10 28 31.2|-46 25 48|  60.928|
|GRB170308221|14 25 24.0|-46 19 48|  11.520|
|GRB170803415|23 30 45.6|-46 19 48|  66.816|
|GRB150313657|15 51 26.4|-47 51 00|   5.120|
|GRB080815917|16 03 36.0|-47 48 00|   0.832|
|GRB150830128|13 49 00.0|-47 46 48|  44.801|
|GRB121027038|00 17 14.4|-47 32 24| 166.915|
|GRB130722021|07 59 26.4|-47 27 00|  81.408|
|GRB081226509|01 42 00.0|-47 24 00|   0.192|
|GRB150630958|23 52 38.4|-47 23 24|  39.169|
|GRB120801920|16 22 55.2|-47 22 12| 479.239|
|GRB160416022|11 46 28.8|-49 28 48|  26.621|
|GRB101227536|10 03 28.8|-49 26 24|  28.864|
|GRB150721732|18 51 31.2|-49 24 36|  11.520|
|GRB110322558|06 36 09.6|-48 54 00|  36.097|
|GRB140115899|06 19 26.4|-48 51 36|  10.496|
|GRB100424729|16 26 52.8|-48 51 00| 175.107|
|GRB120314412|01 11 33.6|-48 43 48|   1.280|
|GRB170825784|07 45 16.8|-48 43 12|  65.024|
|GRB150301045|16 17 08.6|-48 41 49|   0.416|
|GRB150522433|19 17 16.8|-39 40 12|  43.776|
|GRB110118857|15 06 16.8|-39 33 00|  34.561|
|GRB110625579|21 01 19.2|-39 26 24|  35.584|
|GRB150708339|20 34 14.4|-39 21 36|  95.234|
|GRB120121101|15 42 40.8|-39 20 24|  18.432|
|GRB170510217|10 39 38.6|-39 19 41| 127.746|
|GRB170802638|03 29 12.0|-39 12 36|   2.240|
|GRB150523690|13 29 04.8|-39 12 00| 114.690|
|GRB100907751|11 49 09.6|-40 37 48|   5.376|
|GRB131211510|18 05 21.6|-40 36 36|  44.800|
|GRB160411062|23 17 25.7|-40 14 32|   0.672|
|GRB130509078|16 03 24.0|-40 13 12|  24.320|
|GRB141230871|16 27 43.2|-40 10 48|   0.224|
|GRB130609902|03 35 04.8|-40 10 34| 191.491|
|GRB161213295|15 54 26.4|-40 04 12|  23.296|
|GRB161004964|07 28 37.7|-39 53 42|  14.080|
|GRB090328401|06 03 36.0|-42 00 00|  61.697|
|GRB150228845|15 25 16.8|-41 52 12|   4.125|
|GRB110709862|10 24 50.4|-41 47 24|   5.376|
|GRB170801690|22 52 43.2|-41 45 00|  10.240|
|GRB150219522|18 05 03.8|-41 35 06|  36.097|
|GRB131113483|10 31 57.6|-41 31 12|  60.545|
|GRB090117335|15 09 12.0|-41 30 00|  27.264|
|GRB090327404|02 12 24.0|-41 30 00|  14.080|
|GRB170726249|11 05 40.8|-34 00 00|   1.792|
|GRB120119354|04 23 50.4|-33 55 12|  16.384|
|GRB081213173|00 51 36.0|-33 54 00|   0.256|
|GRB130614997|21 36 43.2|-33 53 24|   9.280|
|GRB080808451|07 09 36.0|-33 48 00|   4.352|
|GRB130819394|08 18 52.8|-33 45 36|  82.689|
|GRB120506128|11 28 52.8|-33 43 12|   2.304|
|GRB091101143|01 59 12.0|-33 40 48|  10.688|
|GRB141121414|15 43 33.6|-35 36 00|   3.840|
|GRB150527662|00 43 12.0|-35 36 00|  63.233|
|GRB111025078|21 42 28.8|-35 31 12|  51.712|
|GRB131216081|06 06 21.6|-35 30 00|  19.262|
|GRB150711766|14 46 30.5|-35 27 22|  82.177|
|GRB170923101|08 00 28.8|-35 19 48|  46.080|
|GRB101128322|09 41 52.8|-35 12 00|   8.192|
|GRB170718152|06 49 04.8|-35 00 00|  40.192|
|GRB100805845|07 30 52.8|-35 55 48|  58.430|
|GRB081231140|13 54 24.0|-35 48 00|  28.736|
|GRB090528173|08 59 36.0|-35 48 00|  35.905|
|GRB120908873|17 54 40.8|-35 47 24|  46.849|
|GRB141128962|21 27 12.0|-35 45 36|   0.272|
|GRB150118409|16 00 57.6|-35 45 00|  40.193|
|GRB100504806|17 02 19.2|-35 36 00|  16.512|
|GRB100510810|23 43 12.0|-35 36 00|  31.169|
|GRB101206036|10 56 19.2|-38 06 36|  34.813|
|GRB120919052|19 52 00.0|-38 04 12| 118.018|
|GRB140706815|03 17 10.8|-38 03 03|  43.776|
|GRB120612687|02 38 40.8|-37 54 36|   0.256|
|GRB170614505|20 43 57.6|-37 54 36|   5.376|
|GRB150603105|04 59 04.8|-37 52 12|  67.328|
|GRB110702187|00 22 28.8|-37 39 36|  34.369|
|GRB150201574|00 47 19.8|-37 37 09|  15.616|
|GRB170130302|18 04 12.0|-29 06 36|  50.177|
|GRB101101899|17 44 09.6|-29 00 00|  31.232|
|GRB100517072|06 43 43.2|-28 59 24|  55.808|
|GRB160401065|19 20 45.6|-28 54 00|  20.992|
|GRB110904163|12 41 36.0|-28 51 00|  51.457|
|GRB120830297|05 54 00.4|-28 42 05|   0.896|
|GRB140701567|23 25 48.0|-28 39 36|  25.088|
|GRB110731465|18 42 01.0|-28 32 14|   7.485|
|GRB140329295|09 42 47.5|-32 13 44|  21.504|
|GRB141105358|13 30 24.0|-32 00 00|  19.200|
|GRB130112353|13 05 09.6|-31 56 24|   2.048|
|GRB081206604|23 33 12.0|-31 54 00|   7.936|
|GRB120711446|08 31 31.2|-31 49 48|  87.552|
|GRB170826819|21 50 48.0|-31 48 00|  11.008|
|GRB111010660|12 14 09.6|-31 42 00|   8.704|
|GRB120811014|02 54 37.9|-31 40 30|   0.448|
|GRB090101758|05 11 12.0|-31 36 00| 108.802|
|GRB160512199|16 02 43.2|-33 05 24|  82.433|
|GRB160519060|09 12 28.8|-33 01 48|  17.664|
|GRB171117515|13 07 14.4|-33 00 00| 105.922|
|GRB090108322|00 01 36.0|-32 54 00|   0.192|
|GRB090129880|17 56 00.0|-32 48 00|  16.640|
|GRB160111115|20 40 57.6|-32 46 48|  26.880|
|GRB170429799|17 18 50.4|-32 46 12| 220.163|
|GRB140901821|01 03 16.8|-32 45 36|   0.176|
|GRB160123095|20 56 52.8|-22 10 48|  37.632|
|GRB111203609|16 11 19.2|-22 09 00|  22.016|
|GRB130606497|14 34 17.8|-22 07 52|  52.225|
|GRB111230819|16 10 26.4|-22 07 12|  12.736|
|GRB160315739|21 19 38.4|-22 06 36|   3.328|
|GRB110410772|22 28 40.8|-21 57 36|   8.064|
|GRB160219289|00 05 24.6|-21 57 26|   3.520|
|GRB170705200|23 58 02.4|-21 56 24|  27.648|
|GRB161228405|23 53 40.8|-24 36 00|  49.152|
|GRB081221681|01 03 12.0|-24 30 00|  29.697|
|GRB101227406|16 02 00.0|-24 30 00| 153.347|
|GRB090514726|20 17 16.0|-24 24 00|   2.240|
|GRB090228204|07 07 12.0|-24 18 00|   0.448|
|GRB110909116|23 09 21.6|-24 13 12|  20.736|
|GRB100704149|08 54 32.6|-24 12 58| 214.404|
|GRB120504945|13 21 07.2|-24 12 00|   5.760|
|GRB100929916|12 12 07.2|-24 56 24|   0.320|
|GRB140511995|01 45 00.0|-24 54 36|  59.136|
|GRB130604033|19 28 43.2|-24 51 36|  26.880|
|GRB170901345|09 01 43.2|-24 46 48|  29.696|
|GRB100130729|01 24 45.6|-24 45 00|  99.074|
|GRB120412055|01 57 45.6|-24 40 12|   9.728|
|GRB151202565|21 45 57.6|-24 40 12|   0.704|
|GRB140711691|11 04 02.4|-24 36 00|  80.896|
|GRB120920003|01 48 28.8|-26 07 12|  28.160|
|GRB131008858|21 52 00.0|-25 58 48|  36.349|
|GRB140905454|22 42 00.0|-25 56 24| 110.082|
|GRB140628626|15 04 07.2|-25 49 48|  12.544|
|GRB120908938|15 22 33.6|-25 47 24|  66.945|
|GRB171004672|05 28 48.0|-25 44 24|  48.125|
|GRB100421917|23 22 43.2|-25 39 36|  47.489|
|GRB081021398|12 41 12.0|-25 36 00|  26.112|
|GRB140304849|23 36 43.2|-27 01 48| 232.708|
|GRB100619015|05 38 28.3|-27 00 43|  96.002|
|GRB100101028|20 29 16.8|-27 00 00|   2.816|
|GRB140907429|10 55 16.8|-27 00 00|  27.392|
|GRB110509475|04 58 36.0|-26 58 48|   0.640|
|GRB140405033|07 56 24.0|-26 53 24|  39.936|
|GRB101117496|03 48 45.6|-26 52 12|  50.177|
|GRB110522633|12 02 16.8|-26 48 36|  58.112|
|GRB121029350|15 07 04.8|-28 12 00|  15.808|
|GRB100326294|08 44 57.6|-28 10 48|   5.632|
|GRB131102622|04 56 24.0|-28 00 36|  62.976|
|GRB081101532|13 50 00.0|-28 00 00|   8.256|
|GRB150430015|21 45 55.2|-27 54 08| 111.618|
|GRB130406334|07 18 38.4|-27 51 36|  88.832|
|GRB100311518|20 13 38.4|-27 46 12|   9.024|
|GRB110921912|01 11 52.8|-27 45 00|  17.664|
|GRB120703726|22 37 25.4|-29 43 28|   8.960|
|GRB170910368|13 10 36.0|-29 42 36|  27.392|
|GRB161117066|21 28 12.0|-29 36 36| 122.178|
|GRB100306199|14 24 09.6|-29 22 12|   7.168|
|GRB110703557|10 21 33.6|-29 18 00|   6.720|
|GRB140901262|07 28 44.2|-29 12 32|  65.025|
|GRB091123298|19 48 26.4|-29 10 48| 604.491|
|GRB161220605|09 12 00.0|-29 09 36|  41.729|
|GRB080723913|07 33 12.0|-19 42 00|   0.192|
|GRB090520850|07 24 48.0|-19 42 00|   3.776|
|GRB161218222|07 00 38.4|-19 40 12|   0.320|
|GRB150326542|22 04 31.2|-19 39 00|   4.096|
|GRB171030729|04 56 21.6|-19 33 00|   0.096|
|GRB140513724|16 33 26.4|-19 30 00|  17.152|
|GRB100615083|11 48 49.0|-19 28 55|  37.377|
|GRB170723076|09 03 45.6|-19 26 24|  20.224|
|GRB120922939|15 38 59.5|-20 10 56| 182.275|
|GRB150528656|23 23 48.0|-20 05 24|  13.056|
|GRB150324319|19 40 50.4|-20 02 24|  13.056|
|GRB120712571|11 18 21.6|-20 01 59|  22.528|
|GRB141122087|00 38 50.4|-20 01 12|   1.280|
|GRB111114233|17 52 19.2|-20 00 36|  22.016|
|GRB151122709|19 58 49.0|-19 53 56|  51.200|
|GRB160605847|07 23 55.2|-19 49 48|   5.504|
|GRB100727238|10 16 39.8|-21 21 50|  23.808|
|GRB150630223|07 47 14.4|-21 18 36|  22.784|
|GRB100107074|00 25 14.4|-21 14 24|   0.576|
|GRB130707505|03 37 48.0|-21 02 24|  76.545|
|GRB171022085|16 57 50.4|-21 02 24|  37.633|
|GRB150912443|16 33 46.3|-21 02 02|  33.537|
|GRB101216721|18 57 04.8|-20 58 12|   1.917|
|GRB100204858|06 05 09.6|-20 56 24|   1.920|
|GRB131123543|03 32 57.6|-20 52 48|   3.136|
|GRB140627401|04 25 57.6|-16 45 36|   7.424|
|GRB090518244|14 04 48.0|-16 42 00|   6.784|
|GRB160720275|22 00 36.0|-16 41 24|  14.336|
|GRB170715878|19 08 52.8|-16 36 36|  12.800|
|GRB150809516|23 24 07.2|-16 35 24|  47.361|
|GRB110526715|06 49 55.2|-16 25 12|   0.448|
|GRB101030664|11 05 33.6|-16 23 20|  95.746|
|GRB170803729|11 39 44.4|-16 18 43|   3.584|
|GRB100224112|17 58 14.4|-17 04 48|  67.329|
|GRB130127743|16 44 12.0|-17 04 12|   0.144|
|GRB130811186|12 51 33.6|-17 02 24|  44.801|
|GRB120410585|10 38 31.2|-17 00 00|   1.088|
|GRB161218356|23 54 33.6|-16 57 00|  25.857|
|GRB150911588|02 12 26.4|-16 56 24|  46.081|
|GRB121119579|20 46 36.0|-16 55 12|   2.304|
|GRB130723092|14 31 04.8|-16 51 36|   8.192|
|GRB150727793|13 35 57.6|-18 21 36|  49.409|
|GRB130416770|03 24 50.4|-18 15 00|   0.192|
|GRB120212383|02 52 25.2|-18 01 30|   9.216|
|GRB090520876|08 45 12.0|-18 00 00|  30.657|
|GRB100814160|01 29 53.3|-17 59 47| 150.530|
|GRB140118064|22 04 00.7|-17 56 53|  90.112|
|GRB111207512|10 59 31.2|-17 56 24|   0.768|
|GRB121231445|22 21 52.8|-17 46 48|  32.768|
|GRB130514560|09 50 24.0|-18 58 12|  17.408|
|GRB091127976|02 26 19.9|-18 57 09|   8.701|
|GRB140717827|11 13 55.2|-18 56 24|  80.640|
|GRB080905499|19 10 48.0|-18 54 00|   0.960|
|GRB081125496|02 50 48.0|-18 54 00|   9.280|
|GRB130325203|08 11 07.2|-18 54 00|   6.912|
|GRB151130160|09 05 04.8|-18 49 12|  20.224|
|GRB121123442|02 02 04.8|-18 47 24|  42.497|
|GRB130503214|14 18 52.8|-11 33 00|   0.880|
|GRB130509839|08 55 26.4|-11 30 36|  31.488|
|GRB151129333|04 03 16.8|-11 29 24|  52.224|
|GRB110803783|20 01 40.8|-11 26 24| 186.883|
|GRB130420343|08 10 43.2|-11 25 48|  38.913|
|GRB101127102|04 43 48.0|-11 19 12|  60.672|
|GRB090804940|08 41 36.0|-11 18 00|   5.568|
|GRB170419983|17 39 28.8|-11 13 48|  12.541|
|GRB100322045|01 25 16.8|-12 26 24|  37.121|
|GRB150126868|23 22 00.7|-12 22 05|  96.513|
|GRB150329288|10 52 00.0|-12 19 12|  28.928|
|GRB120820585|12 26 33.6|-12 18 36| 107.522|
|GRB080828189|14 45 12.0|-12 18 00|   3.008|
|GRB150817087|16 38 34.3|-12 03 58|  35.584|
|GRB110120666|04 06 24.0|-12 00 00|  28.417|
|GRB130821674|20 56 24.0|-12 00 00|  87.041|
|GRB150723608|09 59 26.4|-12 55 48|  33.024|
|GRB110117626|08 38 02.4|-12 52 48|  43.264|
|GRB140302342|16 55 26.2|-12 52 42|  67.584|
|GRB091013989|16 16 07.2|-12 45 36|  38.400|
|GRB170121614|04 51 21.6|-12 39 00|  46.337|
|GRB140408553|19 22 51.8|-12 35 37|   7.680|
|GRB170114917|00 48 19.2|-12 33 00|  14.592|
|GRB111011094|02 31 50.4|-12 31 48|   1.472|
|GRB111010899|05 08 04.8|-14 57 36|  18.560|
|GRB130515430|20 51 21.6|-14 57 00|  20.480|
|GRB110717319|20 51 21.6|-14 50 24|  90.369|
|GRB150105257|08 17 16.8|-14 46 48|  73.729|
|GRB081124060|22 40 24.0|-14 36 00|  19.456|
|GRB120913997|14 14 34.6|-14 32 06| 130.050|
|GRB130131511|12 38 31.2|-14 28 48| 147.459|
|GRB130704560|04 22 14.4|-14 27 36|   6.400|
|GRB150613995|15 14 09.6|-07 04 12|  46.593|
|GRB170409112|23 10 19.2|-07 04 12|  68.097|
|GRB111017657|00 32 24.0|-07 00 36|  11.072|
|GRB100330856|21 45 31.2|-06 58 12|   5.120|
|GRB140404900|06 47 14.4|-06 57 00|  22.784|
|GRB140825980|17 37 57.6|-06 55 12|  16.384|
|GRB080818579|04 01 36.0|-06 54 00|  59.329|
|GRB110528624|02 59 09.6|-06 52 12|  69.633|
|GRB090330279|10 40 48.0|-08 12 00|  73.473|
|GRB100516369|18 17 38.4|-08 12 00|   2.112|
|GRB130213905|06 36 21.6|-08 06 00|  15.360|
|GRB161013948|07 17 14.4|-07 51 36|  34.816|
|GRB110717180|20 33 52.8|-07 51 00|   0.112|
|GRB141205763|19 55 04.8|-07 49 12|   5.437|
|GRB160804968|06 13 02.4|-07 39 36|   0.320|
|GRB130802730|05 21 07.2|-07 37 12|   0.064|
|GRB130720582|22 32 07.2|-09 24 00| 199.172|
|GRB090829702|23 39 57.6|-09 21 36| 101.633|
|GRB120907017|04 59 00.0|-09 18 54|   5.760|
|GRB090405663|14 47 36.0|-09 12 00|   0.448|
|GRB090413122|17 46 00.0|-09 12 00|  32.513|
|GRB160225720|05 22 21.6|-09 11 24|  70.144|
|GRB081120618|13 41 36.0|-09 06 00|  25.344|
|GRB120817057|17 19 52.8|-09 04 12|  36.864|
|GRB090426690|05 30 48.0|-09 42 00|   7.488|
|GRB140619475|08 50 48.0|-09 42 00|   2.816|
|GRB141011282|17 11 45.4|-09 40 52|   0.080|
|GRB110108977|00 46 28.8|-09 38 24|  51.456|
|GRB151011136|17 13 24.0|-09 38 24|  25.344|
|GRB130626452|18 12 31.2|-09 31 52|   1.728|
|GRB150216415|08 02 43.2|-09 31 12|  33.792|
|GRB160621497|20 30 09.6|-09 28 48| 251.136|
|GRB170109137|07 48 57.6|-10 55 12| 293.637|
|GRB090514006|00 49 12.0|-10 54 00|  43.521|
|GRB110503145|04 42 02.4|-10 54 00|   7.936|
|GRB110923835|21 33 36.0|-10 53 24|  46.398|
|GRB130123843|20 58 16.8|-10 52 12|  22.016|
|GRB110207470|00 50 10.1|-10 48 22|  37.888|
|GRB081024851|09 43 12.0|-10 48 00|  56.065|
|GRB170923566|15 13 12.0|-10 46 48|  27.648|
|GRB160826938|06 57 50.4|-01 01 12|   1.792|
|GRB100330309|13 28 19.2|-00 54 00|  10.048|
|GRB131006840|09 17 26.4|-00 52 12|  41.984|
|GRB131127592|20 24 21.6|-00 48 36|  18.176|
